epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.659,1.46159,3.53934,1.10232,0.38137,0.6774,0.48798,0.30614,1.33342,1.63436,1.06479,0.00333082,0.00333082,0.00333082
2,714.81,1.34365,1.86457,1.0912,0.91718,0.93155,0.97356,0.66618,1.17035,0.78214,1.01558,0.0065322,0.0065322,0.0065322
3,1065.17,1.32505,1.34139,1.0987,0.96666,0.96899,0.99028,0.68133,1.15489,0.64766,1.02193,0.00960159,0.00960159,0.00960159
4,1411.28,1.30134,1.063,1.10621,0.98684,0.99142,0.99332,0.6963,1.14353,0.54447,1.03448,0.009406,0.009406,0.009406
5,1754.46,1.27178,0.86384,1.09353,0.99417,0.99531,0.99473,0.69982,1.13905,0.48336,1.0283,0.009208,0.009208,0.009208
6,2098.81,1.24734,0.7688,1.08266,0.99496,0.9959,0.99475,0.72712,1.05156,0.44132,0.99621,0.00901,0.00901,0.00901
7,2443.28,1.23281,0.71678,1.07717,0.99707,0.99842,0.99496,0.76395,0.91979,0.39681,0.94866,0.008812,0.008812,0.008812
8,2787.75,1.22283,0.68374,1.07123,0.99763,0.99801,0.995,0.77059,0.91131,0.38823,0.94417,0.008614,0.008614,0.008614
9,3141.83,1.2094,0.65965,1.0638,0.99586,0.99704,0.99445,0.75484,0.96671,0.3826,0.95971,0.008416,0.008416,0.008416
10,3495.96,1.20315,0.63643,1.05802,0.9985,0.99954,0.99499,0.76968,0.91869,0.3696,0.94468,0.008218,0.008218,0.008218
11,3845.3,1.19529,0.62289,1.05737,0.99822,0.99922,0.99486,0.7892,0.84862,0.3613,0.92386,0.00802,0.00802,0.00802
12,4195.12,1.18951,0.60833,1.05233,0.99893,0.99967,0.995,0.78935,0.86405,0.35072,0.92831,0.007822,0.007822,0.007822
13,4545.18,1.18523,0.59758,1.05178,0.99855,0.99963,0.995,0.77941,0.91557,0.35043,0.93946,0.007624,0.007624,0.007624
14,4899.29,1.18076,0.59178,1.04614,0.99905,0.9999,0.995,0.79362,0.85016,0.33782,0.92269,0.007426,0.007426,0.007426
15,5252.32,1.1771,0.57961,1.04382,0.99882,0.99956,0.995,0.79311,0.86168,0.33761,0.92486,0.007228,0.007228,0.007228
16,5600.55,1.17025,0.57305,1.04314,0.99896,0.99979,0.995,0.79109,0.87344,0.33543,0.9265,0.00703,0.00703,0.00703
17,5941.8,1.16109,0.56517,1.04012,0.9991,0.99963,0.995,0.81018,0.80979,0.32146,0.90844,0.006832,0.006832,0.006832
18,6282.52,1.16406,0.55938,1.03971,0.99895,0.99979,0.995,0.79785,0.85438,0.32552,0.91976,0.006634,0.006634,0.006634
19,6624.68,1.15875,0.55375,1.03677,0.99922,0.99996,0.995,0.80694,0.82722,0.31697,0.91222,0.006436,0.006436,0.006436
20,6966.23,1.15007,0.54702,1.03382,0.99924,0.99993,0.995,0.80451,0.83179,0.31791,0.91036,0.006238,0.006238,0.006238
21,7307.45,1.10803,0.54128,1.01954,0.99916,0.99972,0.995,0.81673,0.79486,0.3107,0.89979,0.00604,0.00604,0.00604
22,7650.33,1.08797,0.53286,1.01191,0.99931,0.99982,0.995,0.81383,0.80389,0.30802,0.9034,0.005842,0.005842,0.005842
23,7993.16,1.08189,0.52793,1.00904,0.99931,1,0.995,0.8261,0.75897,0.30091,0.89081,0.005644,0.005644,0.005644
24,8336.47,1.07847,0.52347,1.00662,0.9993,0.99993,0.995,0.82035,0.78623,0.3022,0.89767,0.005446,0.005446,0.005446
25,8679.46,1.0669,0.51783,1.00286,0.99927,0.99989,0.995,0.81965,0.78431,0.30153,0.89221,0.005248,0.005248,0.005248
26,9021.94,1.06796,0.51279,1.00202,0.9993,0.99984,0.995,0.82595,0.76633,0.29737,0.89132,0.00505,0.00505,0.00505
27,9360.51,1.06429,0.50972,1.0001,0.9992,1,0.995,0.82405,0.77746,0.29805,0.89018,0.004852,0.004852,0.004852
28,9697.91,1.06053,0.50656,0.9988,0.99923,1,0.995,0.82554,0.77104,0.29876,0.89094,0.004654,0.004654,0.004654
29,10034.7,1.05294,0.49882,0.99562,0.99927,1,0.995,0.82423,0.7729,0.2966,0.89121,0.004456,0.004456,0.004456
30,10373.9,1.05344,0.49682,0.99664,0.99925,1,0.995,0.83055,0.75196,0.29406,0.88512,0.004258,0.004258,0.004258
31,10709.5,1.04892,0.49153,0.99499,0.99932,1,0.995,0.8321,0.74586,0.29191,0.88385,0.00406,0.00406,0.00406
32,11046.2,1.04633,0.49044,0.99392,0.99934,1,0.995,0.83306,0.74159,0.28933,0.8834,0.003862,0.003862,0.003862
33,11382.3,1.04215,0.48453,0.99408,0.99933,0.99997,0.995,0.83281,0.75067,0.28885,0.88357,0.003664,0.003664,0.003664
34,11719.6,1.03663,0.48217,0.98882,0.99925,0.9999,0.995,0.83455,0.74586,0.28777,0.88237,0.003466,0.003466,0.003466
35,12056.4,1.03556,0.47724,0.98824,0.99926,0.99989,0.995,0.83304,0.74847,0.28745,0.88329,0.003268,0.003268,0.003268
36,12393.7,1.03253,0.47722,0.98704,0.99929,0.99989,0.995,0.83403,0.74453,0.28696,0.88197,0.00307,0.00307,0.00307
37,12730,1.03154,0.4752,0.9852,0.99932,0.99989,0.995,0.83309,0.74969,0.28745,0.88245,0.002872,0.002872,0.002872
38,13069.7,1.0216,0.46803,0.98302,0.99935,0.9999,0.995,0.83417,0.74816,0.28701,0.88171,0.002674,0.002674,0.002674
39,13413.4,1.02514,0.4666,0.98389,0.99936,0.99996,0.995,0.83407,0.74699,0.28646,0.88149,0.002476,0.002476,0.002476
40,13758.9,1.01907,0.46271,0.9814,0.99938,0.99994,0.995,0.83304,0.75114,0.28696,0.882,0.002278,0.002278,0.002278
41,14136.7,1.04989,0.38677,1.05444,0.99932,0.9999,0.995,0.83201,0.75619,0.28847,0.88323,0.00208,0.00208,0.00208
42,14470.8,1.04153,0.3839,1.05053,0.99932,0.99989,0.995,0.83109,0.76101,0.28963,0.88428,0.001882,0.001882,0.001882
43,14807.7,1.03798,0.38178,1.04822,0.99932,0.99989,0.995,0.83117,0.76081,0.2897,0.88446,0.001684,0.001684,0.001684
44,15143.6,1.03221,0.37731,1.04668,0.9993,0.99989,0.995,0.83126,0.76252,0.28976,0.88468,0.001486,0.001486,0.001486
45,15479.8,1.02707,0.37211,1.04527,0.99935,0.99989,0.995,0.83131,0.76126,0.29012,0.88434,0.001288,0.001288,0.001288
46,15813.3,1.02288,0.37041,1.04133,0.99938,0.99989,0.995,0.83118,0.76144,0.2901,0.88429,0.00109,0.00109,0.00109
47,16148.4,1.01854,0.36672,1.04053,0.99939,0.99989,0.995,0.83028,0.76334,0.29076,0.88438,0.000892,0.000892,0.000892
48,16483.2,1.01167,0.36255,1.03593,0.9994,0.99989,0.995,0.82914,0.76631,0.2912,0.88465,0.000694,0.000694,0.000694
49,16820.1,1.01063,0.36029,1.0353,0.99941,0.9999,0.995,0.82904,0.76679,0.29171,0.88461,0.000496,0.000496,0.000496
50,17156.1,1.0035,0.3556,1.03107,0.99942,0.99991,0.995,0.82823,0.7689,0.29184,0.88486,0.000298,0.000298,0.000298
